"","participant","gender","age","Lang","logical_training","trials","response","duration","AgeGroup","aim","comments"
"1","anon1","male","44","ENGLISH","No","training_ladybug_t","1",40056,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"2","anon1","male","44","ENGLISH","No","training_sarah_f","0",33152,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"3","anon1","male","44","ENGLISH","No","simple_1DT_chicken","0",42785,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"4","anon1","male","44","ENGLISH","No","simple_2DT_rabbit","0",41995,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"5","anon1","male","44","ENGLISH","No","simple_1DT_mouse","1",40698,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"6","anon1","male","44","ENGLISH","No","simple_2DT_monkey","0",32239,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"7","anon1","male","44","ENGLISH","No","filler_monkey_f","0",28998,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"8","anon1","male","44","ENGLISH","No","simple_0DT_pinguin","0",74872,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"9","anon1","male","44","ENGLISH","No","simple_1DT_monkey","1",33859,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"10","anon1","male","44","ENGLISH","No","simple_2DT_chicken","0",38274,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
"11","anon1","male","44","ENGLISH","No","filler_rabbit_t","1",30422,"adult","Determining the meaning of the sentences and if they match what was in the video","Not sure if I should have said yes to the ones which were OR (eg banana or orange and the character picked both)"
