"","participant","gender","exp.site","version","trial","item.name","target","response","ageD","trial.typ","tv","Lang","correct","Condition","Complex","AgeGroup"
"1","DISJ-C01-O-A","male",1,"A","1","O-CONJ.CTL.1.T",1,0,1994,"CTL","T","French",FALSE,"1DT",FALSE,"child"
"2","DISJ-C01-O-A","male",1,"A","10","OU.CTL.1.F",0,0,1994,"CTL","F","French",TRUE,"Control",FALSE,"child"
"3","DISJ-C01-O-A","male",1,"A","11","OU.TST.4.F",0,0,1994,"TST","F","French",TRUE,"2DT",FALSE,"child"
"4","DISJ-C01-O-A","male",1,"A","12","O-CONJ.CTL.4.T",1,1,1994,"CTL","T","French",TRUE,"1DT",FALSE,"child"
"5","DISJ-C01-O-A","male",1,"A","13","FILL.CTL.3.T/F",1,1,1994,"CTL","T/F","French",TRUE,"Control",FALSE,"child"
"6","DISJ-C01-O-A","male",1,"A","2","OU.TST.1.F",0,0,1994,"TST","F","French",TRUE,"2DT",FALSE,"child"
"7","DISJ-C01-O-A","male",1,"A","3","O-CONJ.CTL.2.T",1,1,1994,"CTL","T","French",TRUE,"1DT",FALSE,"child"
"8","DISJ-C01-O-A","male",1,"A","4","OU.TST.2.F",0,0,1994,"TST","F","French",TRUE,"2DT",FALSE,"child"
"9","DISJ-C01-O-A","male",1,"A","5","FILL.CTL.2.T/F",1,1,1994,"CTL","T/F","French",TRUE,"Control",FALSE,"child"
"10","DISJ-C01-O-A","male",1,"A","6","OU.CTL.2.F",0,0,1994,"CTL","F","French",TRUE,"Control",FALSE,"child"
"11","DISJ-C01-O-A","male",1,"A","7","O-CONJ.CTL.3.T",1,1,1994,"CTL","T","French",TRUE,"1DT",FALSE,"child"
"12","DISJ-C01-O-A","male",1,"A","8","OU.TST.3.F",0,0,1994,"TST","F","French",TRUE,"2DT",FALSE,"child"
"13","DISJ-C01-O-A","male",1,"A","9","FILL.CTL.1.T/F",1,1,1994,"CTL","T/F","French",TRUE,"Control",FALSE,"child"
"14","DISJ-C01-O-A","male",1,"A","i","TR.i.T",1,1,1994,"TR","T","French",TRUE,"Training",FALSE,"child"
"15","DISJ-C01-O-A","male",1,"A","ii","TR.ii.F",0,0,1994,"TR","F","French",TRUE,"Training",FALSE,"child"
"16","DISJ-C02-S-B","male",1,"B","1","SOIT.TST.4.F",0,0,1937,"TST","F","French",TRUE,"2DT",TRUE,"child"
"17","DISJ-C02-S-B","male",1,"B","10","SOIT.CTL.1.F",0,0,1937,"CTL","F","French",TRUE,"Control",TRUE,"child"
"18","DISJ-C02-S-B","male",1,"B","11","S-CONJ.CTL.1.T",1,0,1937,"CTL","T","French",FALSE,"1DT",TRUE,"child"
"19","DISJ-C02-S-B","male",1,"B","12","SOIT.TST.1.F",0,1,1937,"TST","F","French",FALSE,"2DT",TRUE,"child"
"20","DISJ-C02-S-B","male",1,"B","13","FILL.CTL.2.T/F",1,1,1937,"CTL","T/F","French",TRUE,"Control",TRUE,"child"
"21","DISJ-C02-S-B","male",1,"B","2","S-CONJ.CTL.4.T",1,0,1937,"CTL","T","French",FALSE,"1DT",TRUE,"child"
"22","DISJ-C02-S-B","male",1,"B","3","SOIT.TST.3.F",0,1,1937,"TST","F","French",FALSE,"2DT",TRUE,"child"
"23","DISJ-C02-S-B","male",1,"B","4","S-CONJ.CTL.3.T",1,0,1937,"CTL","T","French",FALSE,"1DT",TRUE,"child"
"24","DISJ-C02-S-B","male",1,"B","5","FILL.CTL.3.T/F",1,1,1937,"CTL","T/F","French",TRUE,"Control",TRUE,"child"
"25","DISJ-C02-S-B","male",1,"B","6","SOIT.CTL.2.F",0,0,1937,"CTL","F","French",TRUE,"Control",TRUE,"child"
"26","DISJ-C02-S-B","male",1,"B","7","SOIT.TST.2.F",0,1,1937,"TST","F","French",FALSE,"2DT",TRUE,"child"
"27","DISJ-C02-S-B","male",1,"B","8","S-CONJ.CTL.2.T",1,0,1937,"CTL","T","French",FALSE,"1DT",TRUE,"child"
"28","DISJ-C02-S-B","male",1,"B","9","FILL.CTL.1.T/F",1,1,1937,"CTL","T/F","French",TRUE,"Control",TRUE,"child"
"29","DISJ-C02-S-B","male",1,"B","i","TR.i.T",1,1,1937,"TR","T","French",TRUE,"Training",TRUE,"child"
"30","DISJ-C02-S-B","male",1,"B","ii","TR.ii.F",0,0,1937,"TR","F","French",TRUE,"Training",TRUE,"child"
"31","DISJ-C03-O-B","female",1,"B","1","OU.TST.4.F",0,0,1904,"TST","F","French",TRUE,"2DT",FALSE,"child"
"32","DISJ-C03-O-B","female",1,"B","10","OU.CTL.1.F",0,0,1904,"CTL","F","French",TRUE,"Control",FALSE,"child"
"33","DISJ-C03-O-B","female",1,"B","11","O-CONJ.CTL.1.T",1,0,1904,"CTL","T","French",FALSE,"1DT",FALSE,"child"
"34","DISJ-C03-O-B","female",1,"B","12","OU.TST.1.F",0,1,1904,"TST","F","French",FALSE,"2DT",FALSE,"child"
"35","DISJ-C03-O-B","female",1,"B","13","FILL.CTL.2.T/F",1,1,1904,"CTL","T/F","French",TRUE,"Control",FALSE,"child"
